pais,categoria,empresa,marcas,lineas_negocio,direccion,ciudad,provincia,telefono,web
Ecuador,Importador,AEKIA S.A.,Kia,"Importa vehículos, repuestos y talleres marca KIA MOTORS",Av. 10 de Agosto N31-162 y Mariana de Jesus,Quito,Pichincha,2548813,
Ecuador,Importador,ALVAREZ BARBA S.A.,Bmw,COMERCIALIZACIÓN Y TALLER POSTVENTA DE AUTOS Y MOTOCICLETAS BMW Y PORSCHE,MATRIZ: AV. 10 DE AGOSTO N51-97 Y ALGARROBOS - Quito,Quito,Pichincha,02 2410760 02 2410761 02 2410762,www.bmw.com.ec
Ecuador,Importador,AMBACAR CIA. LTDA.,Jmc,"VENTA DE GREAL WALL, CAMIONES JMC, REPUESTOS REAT WALL-JMC Y TALLERES Y SERVICIOS",MATRIZ: Av. Indoamerica km 1/2,Ambato,Tungurahua,1700 262 222,
Ecuador,Importador,AUTEC S.A.,Land Rover,"Venta de camiones Kenworth, Daf, chasises de bus Agrale, furgonetas Ventura, vehículos Land Rover, servicio de post venta y repuestos.",MATRIZ: PANAMERICANA NORTE KM 6 Y JUAN BARREZUETA,Quito,Pichincha,2807-830,www.autec.ec
Ecuador,Importador,AUTOLÍDER ECUADOR S.A.,Mercedes Benz,"Importación, distribución, servicio y repuestos Mercedes-Benz",Matriz: Av. Galo Plaza Lasso y Luis Tufiño- Junto SRI,Quito,Pichincha,UIO 02 3930780-GYE 3713080,www.autoliderecuador.com.ec
Ecuador,Importador,AUTOMEKANO CIA. LTDA.,,"Vehículos, repuestos y talleres marca UD TRUCKS, JCB, LEEBOY",MATRIZ: AV. INDOAMERICA Km. 1 - Ambato,Ambato,Tungurahua,032521559 - 032520000-23344011,www.automekano.com
Ecuador,Importador,AUTOMOTORES ANDINA S.A.,Hyundai; Mazda,"Comercialización vehículos, partes y piezas MARCAS: MAZDA, HYUNDAI, SANG YONG",MATRIZ: Av.América N37-83 y Naciones Unidas - Quito,Quito,Pichincha,2240708 - 2241222,www.automotoresandina.com
Ecuador,Importador,AUTOMOTORES DE FRANCIA AUTOFRANCIA C.A.,Peugeot,IMPORTACION Y COMERCIALIZACION DE VEHICULOS Y REPUESTOS MARCA PEUGEOT,MATRIZ :AV.GALO PLAZA LASSO N71-112 Y ENRIQUE GUERRERO PORTILLA,Quito,Pichincha,3933770/ 043704700,www.peugeot.com.ec
Ecuador,Importador,AUTOMOTORES Y ANEXOS S.A. AYASA,Nissan; Renault,"VENTA DE VEHÍCULOS, REPUESTOS Y TALLERES NISSAN Y RENAULT .",MATRIZ: Av. Orellana E2-30 y Av. 10 de Agosto - Quito,Quito,Pichincha,3972800,www.nissan.com.ec / www.renault.ec
Ecuador,Importador,CAMIONES Y BUSES DEL ECUADOR S.A . CAMIONEQ,,Importadora y comercializadora de camiones y buses SCANIA,"Avda. Maldonado Km. 13 y Calle S55A, Guamaní",Quito,Pichincha,3070553 / 3653756,www.scaneq.com.ec
Ecuador,Importador,CENTRAL MOTORS S.A.,,"IMPORTADORA, COMERCIALIZADORA, VENTA DE REPUESTOS Y TALLERES MARCA TATA Y DAEWOO TRUCKS",10 de agosto N56-44 y Nicolás Urquiola,Quito,Pichincha,2405503/ 2402287/ 2406097/ 2405503,www.centralmotors.com.ec
Ecuador,Importador,COMERCIAL CARLOS ROLDAN CIA. LTDA.,Jac,Importación y comercialización de vehiculos marca JAC,Avda. España 8-99 y Sevilla,Cuenca,Azuay,072-807317 / 072-860953,www.jacecuador.com
Ecuador,Importador,CORPORACION AUTOMOTRIZ S.A. CORASA,Mitsubishi,Importación de Camiones y Buses MITSUBISHI FUSO,"Av. Carlos Julio Arosemena Km4.5, frente a la Universidad Santa María",Guayaquil,Guayas,04-2004318 / 3565,www.corasa.com.ec
Ecuador,Importador,"CORPORACIÓN MARESA (Manufacturas, Armadurías y Repuestos Ecuatorianos S.A.)",Mazda,Ensamblaje de vehículos marca Mazda.,"Oficinas corporativas: Av. Granados E11-67 y Las Hiedras, Edificio Corporación Maresa",Quito,Pichincha,3999500 (oficinas corporativas),www.corpmaresa.com.ec
Ecuador,Importador,ECUAYUTONG,,Importación de camiones y buses Yutong,Km. 5.5 Vía Durán - Tambo,Guayaquil,Guayas,04 3714950,
Ecuador,Importador,EUROVEHICULOS S.A.,,DISTRIBUIDOR DE SKODA AUTO,MATRIZ: CARLOS JULIO AROSEMENA KM. 2.5 VIA DAULE,Guayaquil,Guayas,04 6005220,www.skoda.ec
Ecuador,Importador,FISUM S.A,Volkswagen,"Fabrica, Importa, Comercializa Vehículos Volkswagen Livianos y Camiones Volkswagen Man, repuestos y talleres marca",Av. Remigio Tamariz 1-62 y Av. Solano,Cuenca,Azuay,74078186,
Ecuador,Importador,FOTON DEL ECUADOR S.C.C.,Foton,"Importa y comercializa vehiculos camionetaas, todoterrero, camiones , buses FOTON, repuestos y accesorios FOTON y talleres de servicio.",Av. 10 de Agosto N 52-51 y Capitan Ramon Borja,Quito,Pichincha,3500136 / 2411929,
Ecuador,Importador,GALARZA-MACKAY COMPANY S.A./ JMC,Jmc,Representante de Marca y Talleres y Servicios,Av.10 de Agosto y Sabanilla esquina.,Quito,Pichincha,3463001,
Ecuador,Importador,GARNER ESPINOSA C.A.,,"REPRESENTANTES DE TURBO GARRETT, DELPHI DIESEL SYSTEMS, STANADYNE CORPORATION Y BOSCH DIESEL CENTER.",MATRIZ: Eloy Alfaro N73-22 y Calle 40 - Quito,Quito,Pichincha,280- 8408 / 247-7522 / 099830-244 / 096034-598,www.garner.com.ec
Ecuador,Importador,GERMAN MOTORS S. A.,Audi,Importación y comercialización de vehículos marca AUDI,MATRIZ: Avda. de los Granados E12-20 y Colimes,Quito,Pichincha,02-2264380,www.audi.com.ec
Ecuador,Importador,GLOBALMOTORS GLOBMOT S.A,Chery; Dongfeng,"Venta al por mayor y menor de vehículos nuevos Chery, Dongfeng y repuestos y accesorios",MATRIZ: AV. ELOY ALFARO N 40-153 Y JOSE QUERI,Quito,Pichincha,2278080 / 84 / 87,
Ecuador,Importador,GM ISUZU CAMIONES ANDINOS DEL ECUADOR GMICA ECUADOR CIA LTDA,Chevrolet; Isuzu,"Buses, camiones, repuestos y talleres marca Chevrolet",Galo Plaza Lasso OE1-34 y Enrique Guerrero Portilla,Quito,Pichincha,2977700,
