pais,anio,mes,marca,unid_acum,unid_mes
Guatemala,2026,2,Changan,575,
Guatemala,2026,2,Foton,517,
Guatemala,2026,2,Hino,507,
Guatemala,2026,2,Isuzu,1113,
Guatemala,2026,2,Jac,731,
Guatemala,2026,2,Kia,661,
Guatemala,2026,2,Livianos,8942,
Guatemala,2026,2,Mitsubishi,689,
Guatemala,2026,2,Nissan,326,
Guatemala,2026,2,Otras,2620,
Guatemala,2026,2,Pesados,2556,
Guatemala,2026,2,Suzuki,752,
Guatemala,2026,2,Toyota,3007,
Guatemala,2026,3,Changan,853,278
Guatemala,2026,3,Foton,765,248
Guatemala,2026,3,Hino,762,255
Guatemala,2026,3,Isuzu,1800,687
Guatemala,2026,3,Jac,1092,361
Guatemala,2026,3,Kia,977,316
Guatemala,2026,3,Livianos,14168,5226
Guatemala,2026,3,Mitsubishi,1092,403
Guatemala,2026,3,Nissan,517,191
Guatemala,2026,3,Otras,4277,1657
Guatemala,2026,3,Pesados,3878,1322
Guatemala,2026,3,Suzuki,1100,348
Guatemala,2026,3,Toyota,4811,1804
Guatemala,2026,4,Changan,1114,261
Guatemala,2026,4,Foton,974,209
Guatemala,2026,4,Hino,1000,238
Guatemala,2026,4,Isuzu,2433,633
Guatemala,2026,4,Jac,1450,358
Guatemala,2026,4,Kia,1264,287
Guatemala,2026,4,Livianos,18303,4135
Guatemala,2026,4,Mitsubishi,1456,364
Guatemala,2026,4,Nissan,657,140
Guatemala,2026,4,Otras,5582,1305
Guatemala,2026,4,Pesados,5159,1281
Guatemala,2026,4,Suzuki,1351,251
Guatemala,2026,4,Toyota,6181,1370
Guatemala,2026,5,Changan,1514,400
Guatemala,2026,5,Foton,1229,255
Guatemala,2026,5,Hino,1250,250
Guatemala,2026,5,Isuzu,3045,612
Guatemala,2026,5,Jac,1850,400
Guatemala,2026,5,Kia,1568,304
Guatemala,2026,5,Mitsubishi,1891,435
Guatemala,2026,5,Suzuki,1647,296
Guatemala,2026,5,Toyota,7530,1349
Guatemala,2026,5,Volkswagen,811,
Rep. Dominicana,2026,5,Changan,1155,
Rep. Dominicana,2026,5,Chevrolet,728,
Rep. Dominicana,2026,5,Honda,475,
Rep. Dominicana,2026,5,Hyundai,1618,
Rep. Dominicana,2026,5,Isuzu,1292,
Rep. Dominicana,2026,5,Jetour,469,
Rep. Dominicana,2026,5,Kia,1566,
Rep. Dominicana,2026,5,Nissan,657,
Rep. Dominicana,2026,5,Suzuki,831,
Rep. Dominicana,2026,5,Toyota,2304,
