pais,periodo,marca,unidades_curr,unidades_prev,var_yoy_pct,fuente
Peru,Acum a Marzo 2026,Changan,4096,2500,63.8,AAP/SUNARP
Peru,Acum a Marzo 2026,Chery,1855,1039,78.5,AAP/SUNARP
Peru,Acum a Marzo 2026,Chevrolet,1581,2392,-33.9,AAP/SUNARP
Peru,Acum a Marzo 2026,DFSK,1898,1747,8.6,AAP/SUNARP
Peru,Acum a Marzo 2026,Dfsk,1898,1747,8.6,AAP/SUNARP
Peru,Acum a Marzo 2026,Ford,2488,1706,45.8,AAP/SUNARP
Peru,Acum a Marzo 2026,Forland,273,,,AAP/SUNARP
Peru,Acum a Marzo 2026,Foton,896,488,83.6,AAP/SUNARP
Peru,Acum a Marzo 2026,Geely,2614,1074,143.4,AAP/SUNARP
Peru,Acum a Marzo 2026,Great Wall,983,554,77.4,AAP/SUNARP
Peru,Acum a Marzo 2026,Hyundai,5447,4045,34.7,AAP/SUNARP
Peru,Acum a Marzo 2026,JAC,1273,,,AAP/SUNARP
Peru,Acum a Marzo 2026,JMC,667,443,50.6,AAP/SUNARP
Peru,Acum a Marzo 2026,Jac,1273,605,110.4,AAP/SUNARP
Peru,Acum a Marzo 2026,Jetour,3313,1391,138.2,AAP/SUNARP
Peru,Acum a Marzo 2026,Jmc,667,443,50.6,AAP/SUNARP
Peru,Acum a Marzo 2026,KYC,222,154,44.2,AAP/SUNARP
Peru,Acum a Marzo 2026,Kia,5908,4203,40.6,AAP/SUNARP
Peru,Acum a Marzo 2026,King Long,261,160,63.1,AAP/SUNARP
Peru,Acum a Marzo 2026,Kyc,222,154,44.2,AAP/SUNARP
Peru,Acum a Marzo 2026,Mitsubishi,1172,1008,16.3,AAP/SUNARP
Peru,Acum a Marzo 2026,Nissan,174,774,-77.5,AAP/SUNARP
Peru,Acum a Marzo 2026,Renault,100,109,-8.3,AAP/SUNARP
Peru,Acum a Marzo 2026,Shineray,418,295,41.7,AAP/SUNARP
Peru,Acum a Marzo 2026,Suzuki,1894,227,734.4,AAP/SUNARP
Peru,Acum a Marzo 2026,Toyota,11379,9320,22.1,AAP/SUNARP
Chile,Acum a Mayo 2026,Changan,6121,4513,35.6,CAVEM
Chile,Acum a Mayo 2026,Chery,3618,3541,2.2,CAVEM
Chile,Acum a Mayo 2026,Chevrolet,6817,7419,-8.1,CAVEM
Chile,Acum a Mayo 2026,Citroen,1743,3270,-46.7,CAVEM
Chile,Acum a Mayo 2026,Ford,6375,6362,0.2,CAVEM
Chile,Acum a Mayo 2026,Foton,2469,2267,8.9,CAVEM
Chile,Acum a Mayo 2026,Geely,2483,,,CAVEM
Chile,Acum a Mayo 2026,Great Wall,6807,5268,29.2,CAVEM
