pais,anio,mes,marca,unid_acum,unid_mes
Chile,2025,1,Changan,1051,1051
Chile,2025,1,Chery,469,469
Chile,2025,1,Chevrolet,1724,1724
Chile,2025,1,Citroen,693,693
Chile,2025,1,Ford,1393,1393
Chile,2025,1,Foton,452,452
Chile,2025,1,Great Wall,1033,1033
Chile,2025,1,Hyundai,1667,1667
Chile,2025,1,Jetour,361,361
Chile,2025,1,Jmc,291,291
Chile,2025,1,Kia,1838,1838
Chile,2025,1,Maxus,564,564
Chile,2025,1,Mazda,778,778
Chile,2025,1,Mg,945,945
Chile,2025,1,Mitsubishi,1379,1379
Chile,2025,1,Nissan,616,616
Chile,2025,1,Omoda,343,343
Chile,2025,1,Opel,366,366
Chile,2025,1,Peugeot,1409,1409
Chile,2025,1,Ram,356,356
Chile,2025,1,Ssangyong,283,283
Chile,2025,1,Subaru,557,557
Chile,2025,1,Suzuki,1946,1946
Chile,2025,1,Toyota,1842,1842
Chile,2025,1,Volkswagen,511,511
Chile,2025,2,Changan,1879,828
Chile,2025,2,Chery,1173,704
Chile,2025,2,Chevrolet,2992,1268
Chile,2025,2,Citroen,1319,626
Chile,2025,2,Ford,2343,950
Chile,2025,2,Foton,816,364
Chile,2025,2,Great Wall,1965,932
Chile,2025,2,Hyundai,2999,1332
Chile,2025,2,Jac,634,
Chile,2025,2,Jetour,605,244
Chile,2025,2,Kia,3180,1342
Chile,2025,2,Maxus,1073,509
Chile,2025,2,Mazda,1404,626
Chile,2025,2,Mg,1511,566
Chile,2025,2,Mitsubishi,2275,896
Chile,2025,2,Nissan,1105,489
Chile,2025,2,Omoda,671,328
Chile,2025,2,Opel,679,313
Chile,2025,2,Peugeot,2565,1156
Chile,2025,2,Ram,595,239
Chile,2025,2,Ssangyong,534,251
Chile,2025,2,Subaru,1032,475
Chile,2025,2,Suzuki,3736,1790
Chile,2025,2,Toyota,3601,1759
Chile,2025,2,Volkswagen,876,365
Chile,2025,3,Changan,2765,886
Chile,2025,3,Chery,2042,869
Chile,2025,3,Chevrolet,4473,1481
Chile,2025,3,Citroen,1958,639
Chile,2025,3,Ford,3522,1179
Chile,2025,3,Foton,1240,424
Chile,2025,3,Great Wall,3004,1039
Chile,2025,3,Hyundai,4788,1789
Chile,2025,3,Jac,1024,390
Chile,2025,3,Jetour,871,266
Chile,2025,3,Kia,4717,1537
Chile,2025,3,Maxus,1528,455
Chile,2025,3,Mazda,2188,784
Chile,2025,3,Mg,2147,636
Chile,2025,3,Mitsubishi,3099,824
Chile,2025,3,Nissan,1664,559
Chile,2025,3,Omoda,1064,393
Chile,2025,3,Opel,1019,340
Chile,2025,3,Peugeot,3947,1382
Chile,2025,3,Ram,993,398
Chile,2025,3,Ssangyong,780,246
Chile,2025,3,Subaru,1632,600
Chile,2025,3,Suzuki,5693,1957
Chile,2025,3,Toyota,5412,1811
Chile,2025,3,Volkswagen,1394,518
Chile,2025,4,Changan,3696,931
Chile,2025,4,Chery,2757,715
Chile,2025,4,Chevrolet,5817,1344
Chile,2025,4,Citroen,2607,649
Chile,2025,4,Ford,5063,1541
Chile,2025,4,Foton,1806,566
Chile,2025,4,Great Wall,4127,1123
Chile,2025,4,Hyundai,6518,1730
Chile,2025,4,Jac,1492,468
Chile,2025,4,Jetour,1173,302
Chile,2025,4,Kia,6327,1610
Chile,2025,4,Maxus,2443,915
Chile,2025,4,Mazda,2911,723
Chile,2025,4,Mg,2788,641
Chile,2025,4,Mitsubishi,4240,1141
Chile,2025,4,Nissan,2213,549
Chile,2025,4,Omoda,1433,369
Chile,2025,4,Opel,1379,360
Chile,2025,4,Peugeot,5268,1321
Chile,2025,4,Ram,1310,317
Chile,2025,4,Ssangyong,1015,235
Chile,2025,4,Subaru,2227,595
Chile,2025,4,Suzuki,7709,2016
Chile,2025,4,Toyota,7886,2474
Chile,2025,4,Volkswagen,1943,549
Chile,2025,5,Changan,4513,817
Chile,2025,5,Chery,3541,784
Chile,2025,5,Chevrolet,7419,1602
Chile,2025,5,Citroen,3270,663
Chile,2025,5,Ford,6362,1299
Chile,2025,5,Foton,2267,461
Chile,2025,5,Great Wall,5268,1141
Chile,2025,5,Hyundai,8007,1489
Chile,2025,5,Jac,1961,469
Chile,2025,5,Jetour,1467,294
Chile,2025,5,Kia,7735,1408
Chile,2025,5,Maxus,2967,524
Chile,2025,5,Mazda,3661,750
Chile,2025,5,Mg,3428,640
Chile,2025,5,Mitsubishi,4993,753
Chile,2025,5,Nissan,2767,554
Chile,2025,5,Omoda,1888,455
Chile,2025,5,Opel,1693,314
Chile,2025,5,Peugeot,6683,1415
Chile,2025,5,Ram,1701,391
Chile,2025,5,Ssangyong,1240,225
Chile,2025,5,Subaru,2774,547
Chile,2025,5,Suzuki,9550,1841
Chile,2025,5,Toyota,9736,1850
Chile,2025,5,Volkswagen,2337,394
Chile,2025,6,Changan,5492,979
Chile,2025,6,Chery,4412,871
Chile,2025,6,Chevrolet,8802,1383
Chile,2025,6,Citroen,3913,643
Chile,2025,6,Ford,7428,1066
Chile,2025,6,Foton,2844,577
Chile,2025,6,Great Wall,6390,1122
Chile,2025,6,Hyundai,9592,1585
Chile,2025,6,Jac,2413,452
Chile,2025,6,Jetour,1851,384
Chile,2025,6,Kia,9042,1307
Chile,2025,6,Maxus,3425,458
Chile,2025,6,Mazda,4458,797
Chile,2025,6,Mg,4131,703
Chile,2025,6,Mitsubishi,6097,1104
Chile,2025,6,Nissan,3314,547
Chile,2025,6,Omoda,2334,446
Chile,2025,6,Opel,1953,260
Chile,2025,6,Peugeot,8141,1458
Chile,2025,6,Ram,2039,338
Chile,2025,6,Ssangyong,1499,259
Chile,2025,6,Subaru,3303,529
Chile,2025,6,Suzuki,11188,1638
Chile,2025,6,Toyota,11686,1950
Chile,2025,6,Volkswagen,2815,478
Chile,2025,7,Changan,6662,1170
Chile,2025,7,Chery,5235,823
Chile,2025,7,Chevrolet,10460,1658
Chile,2025,7,Citroen,4382,469
Chile,2025,7,Ford,8754,1326
Chile,2025,7,Foton,3362,518
Chile,2025,7,Great Wall,7796,1406
Chile,2025,7,Hyundai,11398,1806
Chile,2025,7,Jac,2965,552
Chile,2025,7,Jetour,2282,431
Chile,2025,7,Kia,10678,1636
Chile,2025,7,Maxus,3947,522
Chile,2025,7,Mazda,5316,858
Chile,2025,7,Mg,4832,701
Chile,2025,7,Mitsubishi,7023,926
Chile,2025,7,Nissan,3998,684
Chile,2025,7,Omoda,2771,437
Chile,2025,7,Opel,2108,155
Chile,2025,7,Peugeot,9401,1260
Chile,2025,7,Ram,2392,353
Chile,2025,7,Ssangyong,1789,290
Chile,2025,7,Subaru,3941,638
Chile,2025,7,Suzuki,13014,1826
Chile,2025,7,Toyota,13832,2146
Chile,2025,7,Volkswagen,3371,556
Chile,2025,9,Changan,9096,
Chile,2025,9,Chery,7180,
Chile,2025,9,Chevrolet,13615,
Chile,2025,9,Citroen,5814,
Chile,2025,9,Ford,11461,
Chile,2025,9,Foton,4679,
Chile,2025,9,Geely,2560,
Chile,2025,9,Great Wall,9709,
Chile,2025,9,Hyundai,15671,
Chile,2025,9,Jac,4096,
Chile,2025,9,Jetour,3458,
Chile,2025,9,Kgm,2565,
Chile,2025,9,Kia,14349,
Chile,2025,9,Maxus,4666,
Chile,2025,9,Mazda,7207,
Chile,2025,9,Mg,6915,
Chile,2025,9,Mitsubishi,9084,
Chile,2025,9,Nissan,5187,
Chile,2025,9,Omoda,3720,
Chile,2025,9,Peugeot,12068,
Chile,2025,9,Ram,3201,
Chile,2025,9,Subaru,5223,
Chile,2025,9,Suzuki,17459,
Chile,2025,9,Toyota,18786,
Chile,2025,9,Volkswagen,5209,
Chile,2025,10,Changan,10221,1125
Chile,2025,10,Chery,7955,775
Chile,2025,10,Chevrolet,15050,1435
Chile,2025,10,Citroen,6310,496
Chile,2025,10,Ford,12822,1361
Chile,2025,10,Foton,5060,381
Chile,2025,10,Geely,3134,574
Chile,2025,10,Great Wall,10994,1285
Chile,2025,10,Hyundai,17660,1989
Chile,2025,10,Jac,4660,564
Chile,2025,10,Jetour,3728,270
Chile,2025,10,Kgm,2828,263
Chile,2025,10,Kia,15489,1140
Chile,2025,10,Maxus,5130,464
Chile,2025,10,Mazda,8114,907
Chile,2025,10,Mg,7763,848
Chile,2025,10,Mitsubishi,9952,868
Chile,2025,10,Nissan,5375,188
Chile,2025,10,Omoda,4185,465
Chile,2025,10,Peugeot,13086,1018
Chile,2025,10,Ram,3500,299
Chile,2025,10,Subaru,5790,567
Chile,2025,10,Suzuki,18637,1178
Chile,2025,10,Toyota,20569,1783
Chile,2025,10,Volkswagen,5624,415
Chile,2025,11,Changan,11308,1087
Chile,2025,11,Chery,8800,845
Chile,2025,11,Chevrolet,16636,1586
Chile,2025,11,Citroen,6972,662
Chile,2025,11,Ford,14244,1422
Chile,2025,11,Foton,5645,585
Chile,2025,11,Geely,3658,524
Chile,2025,11,Great Wall,12272,1278
Chile,2025,11,Hyundai,19483,1823
Chile,2025,11,Jac,5139,479
Chile,2025,11,Jeep,249,
Chile,2025,11,Jetour,4039,311
Chile,2025,11,Kia,17341,1852
Chile,2025,11,Maxus,5587,457
Chile,2025,11,Mazda,8942,828
Chile,2025,11,Mg,8764,1001
Chile,2025,11,Mitsubishi,10720,768
Chile,2025,11,Nissan,5588,213
Chile,2025,11,Omoda,4616,431
Chile,2025,11,Peugeot,14333,1247
Chile,2025,11,Ram,3957,457
Chile,2025,11,Subaru,6328,538
Chile,2025,11,Suzuki,20074,1437
Chile,2025,11,Toyota,22505,1936
Chile,2025,11,Volkswagen,6204,580
Chile,2025,12,Changan,12735,1427
Chile,2025,12,Chery,9518,718
Chile,2025,12,Chevrolet,18467,1831
Chile,2025,12,Citroen,7319,347
Chile,2025,12,Dfsk,299,
Chile,2025,12,Ford,15716,1472
Chile,2025,12,Foton,6531,886
Chile,2025,12,Geely,4191,533
Chile,2025,12,Great Wall,13952,1680
Chile,2025,12,Hyundai,21682,2199
Chile,2025,12,Jac,5665,526
Chile,2025,12,Jetour,4582,543
Chile,2025,12,Kia,19079,1738
Chile,2025,12,Maxus,6371,784
Chile,2025,12,Mazda,9913,971
Chile,2025,12,Mg,9760,996
Chile,2025,12,Mitsubishi,11607,887
Chile,2025,12,Nissan,5779,191
Chile,2025,12,Omoda,5016,400
Chile,2025,12,Peugeot,15604,1271
Chile,2025,12,Ram,4237,280
Chile,2025,12,Subaru,6914,586
Chile,2025,12,Suzuki,21729,1655
Chile,2025,12,Toyota,24814,2309
Chile,2025,12,Volkswagen,7056,852
Chile,2026,1,Changan,1288,1288
Chile,2026,1,Chery,680,680
Chile,2026,1,Chevrolet,1332,1332
Chile,2026,1,Citroen,488,488
Chile,2026,1,Dfm,260,260
Chile,2026,1,Ford,1311,1311
Chile,2026,1,Foton,460,460
Chile,2026,1,Geely,521,521
Chile,2026,1,Great Wall,1541,1541
Chile,2026,1,Hyundai,1544,1544
Chile,2026,1,Jac,625,625
Chile,2026,1,Jetour,531,531
Chile,2026,1,Jmc,256,256
Chile,2026,1,Kia,1584,1584
