pais,anio,mes,marca,unid_acum,unid_mes
Colombia,2025,1,Bmw,116,116
Colombia,2025,1,Byd,521,521
Colombia,2025,1,Chevrolet,1292,1292
Colombia,2025,1,Citroen,110,110
Colombia,2025,1,Dongfeng,134,134
Colombia,2025,1,Ford,446,446
Colombia,2025,1,Foton,344,344
Colombia,2025,1,Hyundai,615,615
Colombia,2025,1,Jac,174,174
Colombia,2025,1,Jmc,146,146
Colombia,2025,1,Kia,1820,1820
Colombia,2025,1,Mazda,1253,1253
Colombia,2025,1,Mercedes Benz,183,183
Colombia,2025,1,Nissan,909,909
Colombia,2025,1,Renault,2232,2232
Colombia,2025,1,Subaru,124,124
Colombia,2025,1,Suzuki,549,549
Colombia,2025,1,Toyota,1399,1399
Colombia,2025,1,Volkswagen,566,566
Colombia,2025,1,Volvo,114,114
Colombia,2025,2,Bmw,246,130
Colombia,2025,2,Byd,1003,482
Colombia,2025,2,Chevrolet,2682,1390
Colombia,2025,2,Citroen,254,144
Colombia,2025,2,Ford,959,513
Colombia,2025,2,Foton,740,396
Colombia,2025,2,Hyundai,1371,756
Colombia,2025,2,Jac,380,206
Colombia,2025,2,Jmc,282,136
Colombia,2025,2,Kia,4334,2514
Colombia,2025,2,Mazda,3045,1792
Colombia,2025,2,Mercedes Benz,417,234
Colombia,2025,2,Mg,146,146
Colombia,2025,2,Nissan,1801,892
Colombia,2025,2,Renault,4545,2313
Colombia,2025,2,Subaru,267,143
Colombia,2025,2,Suzuki,1361,812
Colombia,2025,2,Toyota,3185,1786
Colombia,2025,2,Volkswagen,1219,653
Colombia,2025,2,Volvo,282,168
Colombia,2025,3,Bmw,381,135
Colombia,2025,3,Byd,1838,835
Colombia,2025,3,Chevrolet,4305,1623
Colombia,2025,3,Dongfeng,264,130
Colombia,2025,3,Ford,1514,555
Colombia,2025,3,Foton,1166,426
Colombia,2025,3,Honda,137,137
Colombia,2025,3,Hyundai,2260,889
Colombia,2025,3,Jac,562,182
Colombia,2025,3,Jmc,429,147
Colombia,2025,3,Kia,6776,2442
Colombia,2025,3,Mazda,4528,1483
Colombia,2025,3,Mercedes Benz,685,268
Colombia,2025,3,Nissan,2843,1042
Colombia,2025,3,Renault,7127,2582
Colombia,2025,3,Subaru,416,149
Colombia,2025,3,Suzuki,2362,1001
Colombia,2025,3,Toyota,5037,1852
Colombia,2025,3,Volkswagen,1914,695
Colombia,2025,3,Volvo,412,130
Colombia,2025,4,Bmw,525,144
Colombia,2025,4,Byd,2544,706
Colombia,2025,4,Changan,125,125
Colombia,2025,4,Chevrolet,5606,1301
Colombia,2025,4,Citroen,419,165
Colombia,2025,4,Ford,2006,492
Colombia,2025,4,Foton,1591,425
Colombia,2025,4,Hyundai,3132,872
Colombia,2025,4,Jac,695,133
Colombia,2025,4,Jmc,573,144
Colombia,2025,4,Kia,8954,2178
Colombia,2025,4,Mazda,6383,1855
Colombia,2025,4,Mercedes Benz,935,250
Colombia,2025,4,Mg,287,141
Colombia,2025,4,Nissan,3864,1021
