pais,grupo,marcas,dealer,ciudad,direccion,fuente,as_of
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Matriz Indoamerica,Ambato,Av Indoamerica Km 1,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Manuelita Saenz,Ambato,Av. Manuelita Saenz y Antonio Clavijo,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar GWM,Ambato,Av. Rodrigo Pachano y Montalvo,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Eloy Alfaro y 6 de Diciembre,Quito,Eloy Alfaro N33-338,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Galo Plaza,Quito,Av Galo Plaza N59-155 y Francisco Namina,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Granados,Quito,Av. Granados y Eloy Alfaro,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Quicentro Sur,Quito,Av. Moran Valverde y Quitumbe,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar CC El Recreo,Quito,Centro Comercial El Recreo,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar San Rafael,Quito,Av. General Ruminahui e Isla Isabela,ambacar.ec,2026-06
Ecuador,Ambacar,GWM/Haval/SWM/Shineray/DFSK,Ambacar Shyris,Quito,Av. Shyris y Eloy Alfaro,ambacar.ec,2026-06
