pais,dealer_id,dealer,ciudad,provincia,direccion,vehiculos,rating,reviews,url
Ecuador,1379,ACO Motos,Cuenca,Azuay,Av. Remigio Crespo y Juan Iñiguez,4,5,1,https://ecuador.patiotuerca.com/dealers-profile/aco-motos/1379
Ecuador,1194,AG Autos,Cuenca,Azuay,Av. 12 de Abril y El Oro esq.,32,,,https://ecuador.patiotuerca.com/dealers-profile/ag-autos/1194
Ecuador,1532,Alvarez Autos,Quito,Pichincha,COCHAPAMBA AV. OCCIDENTAL LOTE 22 Y N48,13,,,https://ecuador.patiotuerca.com/dealers-profile/alvarez-autos/1532
Ecuador,1239,Ambacar Seminuevos Agencia Guayaquil,Guayaquil,Guayas,AV GUILLERMO PAREJA ROLANDO 20,23,,,https://ecuador.patiotuerca.com/dealers-profile/ambacar-seminuevos-agencia-guayaquil/1239
Ecuador,1238,Ambacar Seminuevos Ambato,Ambato,Tungurahua,Ambato,13,5,1,https://ecuador.patiotuerca.com/dealers-profile/ambacar-seminuevos-ambato/1238
Ecuador,9,Ambacar Seminuevos Quito,Quito,Pichincha,AV. REPÚBLICA DEL SALVADOR Y AV. NACIONES UNIDAS,14,5,1,https://ecuador.patiotuerca.com/dealers-profile/ambacar-seminuevos-quito/9
Ecuador,1625,AMG Motors,Cuenca,Azuay,RICARDO MUÑOZ DAVILA 1-35 Y REMIGIO CRESPO,20,,,https://ecuador.patiotuerca.com/dealers-profile/amg-motors/1625
Ecuador,827,Art Cars,Guayaquil,Guayas,Av Jose Castillo y Juan Tanga Marengo,15,,,https://ecuador.patiotuerca.com/dealers-profile/art-cars/827
Ecuador,20,Austroauto Comercial,Cuenca,Azuay,MEXICO S/N Y COLOMBIA Y COSTA RICA.,22,,,https://ecuador.patiotuerca.com/dealers-profile/austroauto-comercial/20
Ecuador,22,Auto Alvarez,Guayaquil,Guayas,"MIGUEL HILARIO ALCIVAR, SOLAR 6-7",167,,,https://ecuador.patiotuerca.com/dealers-profile/auto-alvarez/22
Ecuador,29,Auto Comercio Orellana,Cuenca,Azuay,AV. ESPAÑA 9-99 Y SEVILLA,34,,,https://ecuador.patiotuerca.com/dealers-profile/auto-comercio-orellana/29
Ecuador,1191,Auto Confianza,Quito,Pichincha,"La Prensa N42-42 y Mariano Echeverría, junto a la gasolinera Más Gas",112,5,1,https://ecuador.patiotuerca.com/dealers-profile/auto-confianza/1191
Ecuador,1544,Auto Confianza Sucursal,Quito,Pichincha,ISLA FERNANDINA N 43 - 15 Y RIO COCA,112,5,1,https://ecuador.patiotuerca.com/dealers-profile/auto-confianza-sucursal/1544
Ecuador,1444,Auto Directo,Quito,Pichincha,N29 BARTOLOME LAS CASAS OE 1-20 Y 10 DE AGOSTO,21,,,https://ecuador.patiotuerca.com/dealers-profile/auto-directo/1444
Ecuador,462,Auto en Regla,Quito,Pichincha,PICHINCHA / QUITO / AV. DIEGO DE VASQUEZ N155 Y RAFAEL CARVAJAL,8,,,https://ecuador.patiotuerca.com/dealers-profile/auto-en-regla/462
Ecuador,1559,Auto Mekano,Quito,Pichincha,Galo Plaza Lasso y Sabanilla,7,,,https://ecuador.patiotuerca.com/dealers-profile/auto-mekano/1559
Ecuador,56,Auto Total,Ambato,Tungurahua,AV. LAS AMERICAS 16-88 Y VENEZUELA,12,,,https://ecuador.patiotuerca.com/dealers-profile/auto-total/56
Ecuador,55,Auto Total Cuenca (Matriz),Cuenca,Azuay,SAN SEBASTIAN GRAN COLOMBIA 22-182 Y AV. UNIDAD NACIONAL 593,20,,,https://ecuador.patiotuerca.com/dealers-profile/auto-total-cuenca-matriz/55
Ecuador,989,Auto Total Cuenca (Sucursal) Héroes de Verdeloma,Cuenca,Azuay,HEROES DE VERDELOMA Y PADRE AGUIRRE,11,,,https://ecuador.patiotuerca.com/dealers-profile/auto-total-cuenca-sucursal-heroes-de-verdeloma/989
Ecuador,1437,Auto Xperts,Quito,Pichincha,Av. Rio Coca y Laureles Frente Al Terminal Rio Coca,56,,,https://ecuador.patiotuerca.com/dealers-profile/auto-xperts/1437
Ecuador,812,AutoCambio Verdezoto Hinojosa,Quito,Pichincha,LUIS CORDERO N24-150 Y 9 DE OCTUBRE,45,,,https://ecuador.patiotuerca.com/dealers-profile/autocambio-verdezoto-hinojosa/812
Ecuador,722,Autoclass,Guayaquil,Guayas,Av. Juan Tanca Marengo Km. 1.5 (diagonal al Edif. Nobis),12,,,https://ecuador.patiotuerca.com/dealers-profile/autoclass/722
Ecuador,1609,Autocomercio Astudillo,Cuenca,Azuay,AV. ESPAÑA 14-55 Y GRANADA,33,,,https://ecuador.patiotuerca.com/dealers-profile/autocomercio-astudillo/1609
Ecuador,1301,Autocomercio Gavilanez,Ambato,Tungurahua,AV. QUIZ QUIZ 13-33 Y CAÑARIS,13,,,https://ecuador.patiotuerca.com/dealers-profile/autocomercio-gavilanez/1301
Ecuador,866,Autocomercio Gonzalez,Quito,Pichincha,Av. Río Coca,5,,,https://ecuador.patiotuerca.com/dealers-profile/autocomercio-gonzalez/866
Ecuador,510,Autocomercio Luzuriaga,Cuenca,Azuay,HEROES DE VERDELOMA 7-15 Y ANTONIO BORRERO,13,,,https://ecuador.patiotuerca.com/dealers-profile/autocomercio-luzuriaga/510
Ecuador,71,Autocomercio Yánez,Quito,Pichincha,PICHINCHA / QUITO / AV. 6 DE DICIEMBRE N52-04 Y ISAAC BARRERA,30,,,https://ecuador.patiotuerca.com/dealers-profile/autocomercio-yanez/71
Ecuador,1410,Autocor (Matriz) 6 de Diciembre,Quito,Pichincha,Av 6 De Diciembre N61 y Santa Lucia,100,5,25,https://ecuador.patiotuerca.com/dealers-profile/autocor-matriz-6-de-diciembre/1410
Ecuador,1122,Autocor Av. de los Shyris,Quito,Pichincha,Av. De Los Shyris E8-40 y El Universo,165,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-av-de-los-shyris/1122
Ecuador,1306,Autocor Av. Eloy Alfaro,Quito,Pichincha,Av. Eloy Alfaro E14-65 y Camilo Gallegos. Esquina ( Una cuadra antes de la Granados),70,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-av-eloy-alfaro/1306
Ecuador,423,Autocor Av. Orellana,Quito,Pichincha,Av. Francisco de Orellana E4-328 y Enrique Gangotena,54,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-av-orellana/423
Ecuador,1550,Autocor Cumbaya,Quito,Pichincha,"Cumbayá, Av. Oswaldo Guayasamin y María Angélica Idrovo",70,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-cumbaya/1550
Ecuador,1598,Autocor Guayaquil,Guayaquil,Guayas,Av. De las Américas junto al ingreso al Aeropuerto Jose Joaquin de Olmedo,201,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-guayaquil/1598
Ecuador,1510,Autocor La Prensa,Quito,Pichincha,Av. La Prensa N46-15 y Zamora,126,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-la-prensa/1510
Ecuador,1567,Autocor Sur,Quito,Pichincha,Av. Pedro Vicente Maldonado S12-76. A 200 mt del CC Recreo,39,5,1,https://ecuador.patiotuerca.com/dealers-profile/autocor-sur/1567
Ecuador,1520,Autocor Valle de los Chillos,Quito,Pichincha,Av. General Enríquez y San Juan de Dios. Esquina,49,,,https://ecuador.patiotuerca.com/dealers-profile/autocor-valle-de-los-chillos/1520
Ecuador,39,AutoLop,Quito,Pichincha,RIO COCA E ISLA ESPAÑOLA,8,,,https://ecuador.patiotuerca.com/dealers-profile/autolop/39
Ecuador,1141,Autoluxe,Quito,Pichincha,Baron de Carondelet y America,14,,,https://ecuador.patiotuerca.com/dealers-profile/autoluxe/1141
Ecuador,1618,Automekano Cumbayá,Quito,Pichincha,"Cumbayá, Av. Oswaldo Guayasamín. Centro Comercial Cumbayá",13,,,https://ecuador.patiotuerca.com/dealers-profile/automekano-cumbaya/1618
Ecuador,492,Automotores  Astudillo,Cuenca,Azuay,ARANJUEZ 3-88 Y AV. ESPAÑA,1,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-astudillo/492
Ecuador,91,Automotores Carlos Larrea Usados - Ambato,Ambato,Tungurahua,AV. ATAHUALPA S/N Y AV. VICTOR HUGO,49,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-carlos-larrea-usados-ambato/91
Ecuador,92,Automotores Carlos Palacios,Ambato,Tungurahua,CORAZON 130 Y AV. EL REY,32,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-carlos-palacios/92
Ecuador,1161,Automotores FC,Ambato,Tungurahua,TUNGURAHUA / AMBATO / BOLIVARIANA S/N Y SEYMUR,51,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-fc/1161
Ecuador,258,Automotores Full Cars,Quito,Pichincha,TUNGURAHUA / AMBATO / ATAHUALPA (CHISALATA) / AV. INDOAMERICA S/N Y AV BRIGADA CONDOR,20,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-full-cars/258
Ecuador,1186,Automotores Gualmotors,Ambato,Tungurahua,AV. INDOAMERICA S/N Y CIRCUNVALACION,16,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-gualmotors/1186
Ecuador,147,Automotores La Carolina,Quito,Pichincha,AV. 10 DE AGOSTO 4507 Y PEDRO BEDON,17,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-la-carolina/147
Ecuador,1137,Automotores Ortiz,Ambato,Tungurahua,AV. QUIZ QUIZ 1-01 Y MASACOTA PUENTO,10,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-ortiz/1137
Ecuador,108,Automotores Quito Rutaviva,Quito,Pichincha,"Tumbaco - Ruta Viva S34-330 y De Los Arupos, Junto A Ruta Gol",20,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-quito-rutaviva/108
Ecuador,1231,Automotores Riarso,Ambato,Tungurahua,LA MERCED / INDOAMERICA S/N Y DINAMARCA,21,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-riarso/1231
Ecuador,110,Automotores Rocar (Cuenca),Cuenca,Azuay,AV DE LAS AMERICAS Y JOAQUIN MALO,72,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-rocar-cuenca/110
Ecuador,556,Automotores Rocar (Quito),Quito,Pichincha,GALO PLAZA Y AV EL INCA ESQUINA,14,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-rocar-quito/556
Ecuador,1135,Automotores Rocar Guayaquil,Guayaquil,Guayas,Av. Miguel H. AlcÌvar y Calle 13A-NE frente al parque Japones,55,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-rocar-guayaquil/1135
Ecuador,1098,Automotores Salguero Sandoval,Ambato,Tungurahua,AV. DE LAS AMERICAS Y NICARAGUA,9,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-salguero-sandoval/1098
Ecuador,1560,Automotores Villamar,Ambato,Tungurahua,AV. BOLIVARIANA SN Y SEYMUR,26,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-villamar/1560
Ecuador,668,Automotores Vladimir Enderica,Cuenca,Azuay,AVENIDA HUAYNA CAPAC 4-50 Y CALLE VIRACOCHABAMBA,18,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-vladimir-enderica/668
Ecuador,112,Automotores y Vehículos Miltón Ruíz,Ambato,Tungurahua,AV. BOLIVARIANA S/N Y AV. GALO VELA,10,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-y-vehiculos-milton-ruiz/112
Ecuador,1344,Automotores Yuquilema,Cuenca,Azuay,HEROES DE VERDELOMA 6-50 Y MIGUEL CORDERO,42,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-yuquilema/1344
Ecuador,1360,Automotores YZK,Quito,Pichincha,6 DE DICIEMBRE Y AV EL INCA,59,,,https://ecuador.patiotuerca.com/dealers-profile/automotores-yzk/1360
Ecuador,972,AutoPits,Quito,Pichincha,AV LA PRENSA N69-202 Y EZEQUIEL MARQUEZ,13,,,https://ecuador.patiotuerca.com/dealers-profile/autopits/972
Ecuador,544,Autopolo Quito,Quito,Pichincha,Av. Simon Bolivar (Sector Intercambiador Sobre la Autopista General Rumiñahi),28,,,https://ecuador.patiotuerca.com/dealers-profile/autopolo-quito/544
Ecuador,116,Autopolo S.D.H,Ambato,Tungurahua,Av. Indoamérica entrada a las Viñas Ingahurco Bajo,43,,,https://ecuador.patiotuerca.com/dealers-profile/autopolo-s-d-h/116
Ecuador,1393,Autopremium Matriz,Quito,Pichincha,Av.Galo Plaza Lasso y de los Cedros Esquina Diagonal a Servientrega,24,,,https://ecuador.patiotuerca.com/dealers-profile/autopremium-matriz/1393
Ecuador,1145,Autopremium Seminuevos,Quito,Pichincha,Calle de los cedros y Av. Galo Plaza Lasso esquina.,26,,,https://ecuador.patiotuerca.com/dealers-profile/autopremium-seminuevos/1145
Ecuador,1589,Autoprime,Quito,Pichincha,10 DE AGOSTO E ISABEL TOBAR,15,,,https://ecuador.patiotuerca.com/dealers-profile/autoprime/1589
Ecuador,1530,Autos Chango,Quito,Pichincha,AV MARISCAL SUCRE S/N QUITO 170705,67,,,https://ecuador.patiotuerca.com/dealers-profile/autos-chango/1530
Ecuador,1421,Autos Cumbayá,Quito,Pichincha,"CUMBAYÁ, GALO PLAZA LASSO N74-258 Y JUAN DE CELIS",66,,,https://ecuador.patiotuerca.com/dealers-profile/autos-cumbaya/1421
