pais,anio,mes,marca,unid_acum,unid_mes
Ecuador,2023,4,Changan,626,
Ecuador,2023,4,Chery,2307,
Ecuador,2023,4,Chevrolet,8524,
Ecuador,2023,4,Dfsk,1180,
Ecuador,2023,4,Dongfeng,859,
Ecuador,2023,4,Ford,842,
Ecuador,2023,4,Great Wall,1287,
Ecuador,2023,4,Hino,867,
Ecuador,2023,4,Hyundai,2409,
Ecuador,2023,4,Jac,1628,
Ecuador,2023,4,Jetour,1149,
Ecuador,2023,4,Jmc,531,
Ecuador,2023,4,Kia,7674,
Ecuador,2023,4,Mazda,1021,
Ecuador,2023,4,Nissan,818,
Ecuador,2023,4,Renault,1899,
Ecuador,2023,4,Shineray,1705,
Ecuador,2023,4,Suzuki,1362,
Ecuador,2023,4,Toyota,3168,
Ecuador,2023,4,Volkswagen,1130,
Ecuador,2023,6,Changan,984,
Ecuador,2023,6,Chery,3446,
Ecuador,2023,6,Chevrolet,12593,
Ecuador,2023,6,Dfsk,1802,
Ecuador,2023,6,Dongfeng,1245,
Ecuador,2023,6,Ford,1183,
Ecuador,2023,6,Great Wall,1866,
Ecuador,2023,6,Hino,1356,
Ecuador,2023,6,Hyundai,3649,
Ecuador,2023,6,Jac,2511,
Ecuador,2023,6,Jetour,1754,
Ecuador,2023,6,Jmc,765,
Ecuador,2023,6,Kia,11435,
Ecuador,2023,6,Mazda,1612,
Ecuador,2023,6,Nissan,1235,
Ecuador,2023,6,Renault,2782,
Ecuador,2023,6,Shineray,2623,
Ecuador,2023,6,Suzuki,1974,
Ecuador,2023,6,Toyota,4782,
Ecuador,2023,6,Volkswagen,1716,
Ecuador,2023,8,Changan,1392,
Ecuador,2023,8,Chery,4550,
Ecuador,2023,8,Chevrolet,16366,
Ecuador,2023,8,Dfsk,2287,
Ecuador,2023,8,Dongfeng,1601,
Ecuador,2023,8,Ford,1561,
Ecuador,2023,8,Great Wall,2354,
Ecuador,2023,8,Hino,1808,
Ecuador,2023,8,Hyundai,4879,
Ecuador,2023,8,Jac,3261,
Ecuador,2023,8,Jetour,2331,
Ecuador,2023,8,Jmc,998,
