pais,anio,mes,marca,unid_acum,unid_mes
Peru,2025,1,BMW,46,46
Peru,2025,1,Bmw,46,46
Peru,2025,1,Changan,920,920
Peru,2025,1,Chery,388,388
Peru,2025,1,Chevrolet,791,791
Peru,2025,1,DFSK,599,599
Peru,2025,1,Dfsk,599,599
Peru,2025,1,Ford,317,317
Peru,2025,1,Foton,176,176
Peru,2025,1,GEELY,313,313
Peru,2025,1,Geely,313,313
Peru,2025,1,Great Wall,184,184
Peru,2025,1,Hyundai,1454,1454
Peru,2025,1,JAC,303,303
Peru,2025,1,JMC,146,146
Peru,2025,1,Jac,303,303
Peru,2025,1,Jetour,484,484
Peru,2025,1,Jmc,146,146
Peru,2025,1,KYC,66,66
Peru,2025,1,Kia,1459,1459
Peru,2025,1,Kyc,66,66
Peru,2025,1,Mazda,42,42
Peru,2025,1,Mitsubishi,382,382
Peru,2025,1,Nissan,427,427
Peru,2025,1,Shineray,114,114
Peru,2025,1,Suzuki,402,402
Peru,2025,1,Toyota,3731,3731
Peru,2025,2,Changan,1681,761
Peru,2025,2,Chery,125,
Peru,2025,2,Chevrolet,1573,782
Peru,2025,2,DFSK,1136,537
Peru,2025,2,Dfsk,1136,537
Peru,2025,2,Ford,1091,774
Peru,2025,2,Foton,335,159
Peru,2025,2,GEELY,677,364
Peru,2025,2,Geely,677,364
Peru,2025,2,Great Wall,334,150
Peru,2025,2,Hyundai,2692,1238
Peru,2025,2,JAC,418,115
Peru,2025,2,JMC,267,121
Peru,2025,2,Jac,418,115
Peru,2025,2,Jetour,873,389
Peru,2025,2,Jmc,267,121
Peru,2025,2,KYC,113,47
Peru,2025,2,Kia,2784,1325
Peru,2025,2,King Long,122,
Peru,2025,2,Kyc,113,47
Peru,2025,2,MG,148,
Peru,2025,2,Mg,148,
Peru,2025,2,Mitsubishi,679,297
Peru,2025,2,Nissan,592,165
Peru,2025,2,Renault,70,
Peru,2025,2,Shineray,207,93
Peru,2025,2,Suzuki,710,308
Peru,2025,2,Toyota,6628,2897
Peru,2025,3,Changan,2500,819
Peru,2025,3,Chery,1039,914
Peru,2025,3,Chevrolet,2392,819
Peru,2025,3,DFSK,1747,611
Peru,2025,3,Dfsk,1747,611
Peru,2025,3,Ford,1706,615
Peru,2025,3,Foton,488,153
Peru,2025,3,GEELY,1074,397
Peru,2025,3,Geely,1074,397
Peru,2025,3,Great Wall,554,220
Peru,2025,3,Hyundai,4045,1353
Peru,2025,3,JMC,443,176
Peru,2025,3,Jac,605,187
Peru,2025,3,Jetour,1391,518
Peru,2025,3,Jmc,443,176
Peru,2025,3,KYC,154,41
Peru,2025,3,Kia,4203,1419
Peru,2025,3,King Long,160,38
Peru,2025,3,Kyc,154,41
Peru,2025,3,MG,235,87
Peru,2025,3,Mg,235,87
Peru,2025,3,Mitsubishi,1008,329
Peru,2025,3,Nissan,774,182
Peru,2025,3,Renault,109,39
Peru,2025,3,Shineray,295,88
Peru,2025,3,Suzuki,227,
Peru,2025,3,Toyota,9320,2692
Peru,2025,4,Changan,3271,771
Peru,2025,4,Chery,1386,347
Peru,2025,4,Chevrolet,3145,753
Peru,2025,4,DFSK,2300,553
Peru,2025,4,Dfsk,2300,553
Peru,2025,4,Ford,2306,600
Peru,2025,4,Foton,637,149
Peru,2025,4,GEELY,1495,421
Peru,2025,4,Geely,1495,421
Peru,2025,4,Great Wall,739,185
Peru,2025,4,Hyundai,5370,1325
Peru,2025,4,JMC,591,148
Peru,2025,4,Jac,994,389
Peru,2025,4,Jetour,1850,459
Peru,2025,4,Jmc,591,148
Peru,2025,4,Kia,5471,1268
Peru,2025,4,King Long,187,27
Peru,2025,4,MG,364,129
Peru,2025,4,Mg,364,129
Peru,2025,4,Mitsubishi,1263,255
Peru,2025,4,Nissan,925,151
Peru,2025,4,Shineray,395,100
Peru,2025,4,Suzuki,352,125
Peru,2025,4,Toyota,12219,2899
Peru,2025,4,Volkswagen,239,
Peru,2025,5,Changan,4190,919
Peru,2025,5,Chery,1746,360
Peru,2025,5,Chevrolet,3710,565
Peru,2025,5,DFSK,2978,678
Peru,2025,5,Dfsk,2978,678
Peru,2025,5,Ford,2853,547
Peru,2025,5,Foton,833,196
Peru,2025,5,GEELY,1963,468
Peru,2025,5,Geely,1963,468
Peru,2025,5,Great Wall,927,188
Peru,2025,5,Hyundai,6735,1365
Peru,2025,5,JMC,754,163
Peru,2025,5,Jac,1245,251
Peru,2025,5,Jetour,2434,584
Peru,2025,5,Jmc,754,163
Peru,2025,5,Kia,6804,1333
Peru,2025,5,King Long,264,77
Peru,2025,5,MG,450,86
Peru,2025,5,Mg,450,86
Peru,2025,5,Mitsubishi,1482,219
Peru,2025,5,Nissan,1054,129
Peru,2025,5,Shineray,498,103
Peru,2025,5,Suzuki,475,123
Peru,2025,5,Toyota,15184,2965
Peru,2025,5,Volkswagen,245,6
Peru,2025,6,Changan,5136,946
Peru,2025,6,Chery,2134,388
Peru,2025,6,Chevrolet,4312,602
Peru,2025,6,DFSK,3547,569
Peru,2025,6,Dfsk,3547,569
Peru,2025,6,Ford,3340,487
Peru,2025,6,Foton,1011,178
Peru,2025,6,Geely,2477,514
Peru,2025,6,Great Wall,1157,230
Peru,2025,6,Hyundai,7948,1213
Peru,2025,6,JMC,925,171
Peru,2025,6,Jac,1553,308
Peru,2025,6,Jetour,3034,600
Peru,2025,6,Jmc,925,171
Peru,2025,6,Kia,8273,1469
Peru,2025,6,King Long,308,44
Peru,2025,6,MG,537,87
Peru,2025,6,Mg,537,87
Peru,2025,6,Mitsubishi,1692,210
Peru,2025,6,Nissan,1229,175
Peru,2025,6,Shineray,587,89
Peru,2025,6,Suzuki,612,137
Peru,2025,6,Toyota,18144,2960
Peru,2025,6,Volkswagen,255,10
Peru,2025,7,Changan,6070,934
Peru,2025,7,Chery,2500,366
Peru,2025,7,Chevrolet,4951,639
Peru,2025,7,DFSK,4054,507
Peru,2025,7,Dfsk,4054,507
Peru,2025,7,Ford,3884,544
Peru,2025,7,Foton,1223,212
Peru,2025,7,Geely,2900,423
Peru,2025,7,Great Wall,1410,253
Peru,2025,7,Hyundai,9145,1197
Peru,2025,7,JAC,1504,
Peru,2025,7,JMC,1129,204
Peru,2025,7,Jac,1504,
Peru,2025,7,Jetour,3597,563
Peru,2025,7,Jmc,1129,204
Peru,2025,7,Kia,9689,1416
Peru,2025,7,King Long,334,26
Peru,2025,7,MG,614,77
Peru,2025,7,Mg,614,77
Peru,2025,7,Mitsubishi,2128,436
Peru,2025,7,Nissan,1335,106
Peru,2025,7,Renault,347,
Peru,2025,7,Shineray,675,88
Peru,2025,7,Suzuki,755,143
Peru,2025,7,Toyota,21431,3287
Peru,2025,7,Volkswagen,267,12
Peru,2025,8,Changan,7058,988
Peru,2025,8,Chery,2928,428
Peru,2025,8,Chevrolet,3300,
Peru,2025,8,DFSK,4656,602
Peru,2025,8,Dfsk,4656,602
Peru,2025,8,Ford,4480,596
Peru,2025,8,Foton,1421,198
Peru,2025,8,Geely,3524,624
Peru,2025,8,Great Wall,1682,272
Peru,2025,8,Hyundai,10526,1381
Peru,2025,8,JAC,3996,2492
Peru,2025,8,JMC,1323,194
Peru,2025,8,Jac,3996,2492
Peru,2025,8,Jetour,4104,507
Peru,2025,8,Jmc,1323,194
Peru,2025,8,Kia,11255,1566
Peru,2025,8,King Long,381,47
Peru,2025,8,MG,697,83
Peru,2025,8,Mg,697,83
Peru,2025,8,Mitsubishi,2372,244
Peru,2025,8,Nissan,1463,128
Peru,2025,8,Renault,402,55
Peru,2025,8,Shineray,749,74
Peru,2025,8,Suzuki,904,149
Peru,2025,8,Toyota,25210,3779
Peru,2025,8,Volkswagen,275,8
Peru,2025,9,Changan,8087,1029
Peru,2025,9,Chery,3318,390
Peru,2025,9,Chevrolet,3749,449
Peru,2025,9,DFSK,5266,610
Peru,2025,9,Dfsk,5266,610
Peru,2025,9,Ford,5142,662
Peru,2025,9,Foton,1619,198
Peru,2025,9,Geely,4045,521
Peru,2025,9,Great Wall,1889,207
Peru,2025,9,Hyundai,11877,1351
Peru,2025,9,JAC,5000,1004
Peru,2025,9,JMC,1501,178
Peru,2025,9,Jac,5000,1004
Peru,2025,9,Jetour,4709,605
Peru,2025,9,Jmc,1501,178
Peru,2025,9,Kia,12766,1511
Peru,2025,9,MG,724,27
Peru,2025,9,Mg,724,27
Peru,2025,9,Mitsubishi,2676,304
Peru,2025,9,Nissan,1584,121
Peru,2025,9,Renault,456,54
Peru,2025,9,Shineray,842,93
Peru,2025,9,Suzuki,1019,115
Peru,2025,9,Toyota,28320,3110
Peru,2025,9,Volkswagen,287,12
Peru,2025,10,BMW,302,
Peru,2025,10,Bmw,302,
Peru,2025,10,Changan,9316,1229
Peru,2025,10,Chery,3820,502
Peru,2025,10,Chevrolet,7050,3301
Peru,2025,10,DFSK,5826,560
Peru,2025,10,Dfsk,5826,560
Peru,2025,10,Ford,5819,677
Peru,2025,10,Foton,1864,245
Peru,2025,10,Geely,4680,635
Peru,2025,10,Great Wall,2197,308
Peru,2025,10,Hyundai,12913,1036
Peru,2025,10,JAC,2304,
Peru,2025,10,JMC,1687,186
Peru,2025,10,Jac,2304,
Peru,2025,10,Jetour,5390,681
Peru,2025,10,Jmc,1687,186
Peru,2025,10,KYC,484,
Peru,2025,10,Kia,14307,1541
Peru,2025,10,King Long,475,
Peru,2025,10,Kyc,484,
Peru,2025,10,MG,737,13
Peru,2025,10,Mg,737,13
Peru,2025,10,Mitsubishi,2929,253
Peru,2025,10,Nissan,1702,118
Peru,2025,10,Renault,530,74
Peru,2025,10,Shineray,922,80
Peru,2025,10,Suzuki,1135,116
Peru,2025,10,Toyota,31648,3328
Peru,2025,11,BMW,336,34
Peru,2025,11,Bmw,336,34
Peru,2025,11,Changan,10572,1256
Peru,2025,11,Chery,4308,488
Peru,2025,11,Chevrolet,7940,890
Peru,2025,11,DFSK,6499,673
Peru,2025,11,Dfsk,6499,673
Peru,2025,11,Ford,6543,724
Peru,2025,11,Foton,2127,263
Peru,2025,11,Geely,5227,547
Peru,2025,11,Great Wall,2524,327
Peru,2025,11,Hyundai,14468,1555
